ts,symbol,close,quote_volume
2026-03-01T20:00:00+00:00,BTCUSDT,65255.7,751571572.2762
2026-03-01T20:00:00+00:00,ETHUSDT,1912.78,973860270.17236
2026-03-01T20:00:00+00:00,SOLUSDT,81.93,148608967.5497
2026-03-01T21:00:00+00:00,BTCUSDT,65629.3,314814230.2098
2026-03-01T21:00:00+00:00,ETHUSDT,1927.63,333222499.83468
2026-03-01T21:00:00+00:00,SOLUSDT,82.89,78185257.6595
2026-03-01T22:00:00+00:00,BTCUSDT,65241.0,1107664024.2472
2026-03-01T22:00:00+00:00,ETHUSDT,1923.62,729003791.42491
2026-03-01T22:00:00+00:00,SOLUSDT,82.68,141632240.2171
2026-03-01T23:00:00+00:00,BTCUSDT,65750.0,594840752.6745
2026-03-01T23:00:00+00:00,ETHUSDT,1938.57,431301430.31278
2026-03-01T23:00:00+00:00,SOLUSDT,83.55,102142160.522
2026-03-02T00:00:00+00:00,BTCUSDT,66472.5,610057871.3528
2026-03-02T00:00:00+00:00,ETHUSDT,1959.77,386943064.44868
2026-03-02T00:00:00+00:00,SOLUSDT,84.95,116412518.6118
2026-03-02T01:00:00+00:00,BTCUSDT,66500.0,496041218.2727
2026-03-02T01:00:00+00:00,ETHUSDT,1962.83,443658754.09558
2026-03-02T01:00:00+00:00,SOLUSDT,84.58,116829955.2621
2026-03-02T02:00:00+00:00,BTCUSDT,66242.2,427607332.7159
2026-03-02T02:00:00+00:00,ETHUSDT,1954.47,394952771.68724
2026-03-02T02:00:00+00:00,SOLUSDT,84.11,87835292.0394
2026-03-02T03:00:00+00:00,BTCUSDT,66787.3,462450930.8434
2026-03-02T03:00:00+00:00,ETHUSDT,1971.36,379953283.71453
2026-03-02T03:00:00+00:00,SOLUSDT,84.74,75199129.4203
2026-03-02T04:00:00+00:00,BTCUSDT,66825.1,327087078.3363
2026-03-02T04:00:00+00:00,ETHUSDT,1972.14,212482328.2568
2026-03-02T04:00:00+00:00,SOLUSDT,84.25,55424114.014
2026-03-02T05:00:00+00:00,BTCUSDT,66701.2,269644657.9777
2026-03-02T05:00:00+00:00,ETHUSDT,1969.99,216839631.47228
2026-03-02T05:00:00+00:00,SOLUSDT,84.17,46971191.1894
2026-03-02T06:00:00+00:00,BTCUSDT,66176.9,410227247.5254
2026-03-02T06:00:00+00:00,ETHUSDT,1942.38,497086542.36923
2026-03-02T06:00:00+00:00,SOLUSDT,83.18,99616892.3751
2026-03-02T07:00:00+00:00,BTCUSDT,65981.3,577540634.2173
2026-03-02T07:00:00+00:00,ETHUSDT,1940.25,388867886.70306
2026-03-02T07:00:00+00:00,SOLUSDT,82.9,80734602.6184
2026-03-02T08:00:00+00:00,BTCUSDT,66247.9,506562443.4221
2026-03-02T08:00:00+00:00,ETHUSDT,1947.97,582616874.99139
2026-03-02T08:00:00+00:00,SOLUSDT,83.4,106177996.6421
2026-03-02T09:00:00+00:00,BTCUSDT,66132.3,563165629.8166
2026-03-02T09:00:00+00:00,ETHUSDT,1946.65,515057837.59457
2026-03-02T09:00:00+00:00,SOLUSDT,83.6,91992327.1238
2026-03-02T10:00:00+00:00,BTCUSDT,66284.0,246291473.6411
2026-03-02T10:00:00+00:00,ETHUSDT,1951.01,245609943.94775
2026-03-02T10:00:00+00:00,SOLUSDT,83.85,77688282.5201
2026-03-02T11:00:00+00:00,BTCUSDT,66329.9,394078548.6104
2026-03-02T11:00:00+00:00,ETHUSDT,1946.56,351676785.66676
2026-03-02T11:00:00+00:00,SOLUSDT,83.85,70105107.743
2026-03-02T12:00:00+00:00,BTCUSDT,65927.8,287729011.1641
2026-03-02T12:00:00+00:00,ETHUSDT,1936.88,269644706.21747
2026-03-02T12:00:00+00:00,SOLUSDT,83.64,50112885.749
2026-03-02T13:00:00+00:00,BTCUSDT,65412.3,679204222.7436
2026-03-02T13:00:00+00:00,ETHUSDT,1926.43,451795828.08106
2026-03-02T13:00:00+00:00,SOLUSDT,83.03,100203482.8692
2026-03-02T14:00:00+00:00,BTCUSDT,67128.7,1821077342.9965
2026-03-02T14:00:00+00:00,ETHUSDT,1978.53,1552732374.7125
2026-03-02T14:00:00+00:00,SOLUSDT,85.61,288199463.9485
2026-03-02T15:00:00+00:00,BTCUSDT,69089.1,4000693054.5786
