ts,symbol,close,quote_volume
2026-02-04T18:00:00+00:00,BTCUSDT,73398.4,2252424044.1435
2026-02-04T18:00:00+00:00,ETHUSDT,2147.24,3013758954.93297
2026-02-04T18:00:00+00:00,SOLUSDT,92.24,348523860.573
2026-02-04T19:00:00+00:00,BTCUSDT,73895.3,1028203579.694
2026-02-04T19:00:00+00:00,ETHUSDT,2187.77,1192259356.432
2026-02-04T19:00:00+00:00,SOLUSDT,94.32,365343552.2249
2026-02-04T20:00:00+00:00,BTCUSDT,73488.9,533465070.4397
2026-02-04T20:00:00+00:00,ETHUSDT,2171.18,527359389.42747
2026-02-04T20:00:00+00:00,SOLUSDT,93.19,129226926.8522
2026-02-04T21:00:00+00:00,BTCUSDT,72772.8,738361052.8162
2026-02-04T21:00:00+00:00,ETHUSDT,2128.66,860500250.4942
2026-02-04T21:00:00+00:00,SOLUSDT,91.28,234608562.7773
2026-02-04T22:00:00+00:00,BTCUSDT,72511.1,1159569075.0405
2026-02-04T22:00:00+00:00,ETHUSDT,2119.25,856020395.71018
2026-02-04T22:00:00+00:00,SOLUSDT,90.78,280449791.7293
2026-02-04T23:00:00+00:00,BTCUSDT,73137.4,641064320.7961
2026-02-04T23:00:00+00:00,ETHUSDT,2147.01,547197475.00442
2026-02-04T23:00:00+00:00,SOLUSDT,92.07,174527225.5497
2026-02-05T00:00:00+00:00,BTCUSDT,72838.9,469009882.4658
2026-02-05T00:00:00+00:00,ETHUSDT,2149.03,387660910.11598
2026-02-05T00:00:00+00:00,SOLUSDT,91.69,89804100.4058
2026-02-05T01:00:00+00:00,BTCUSDT,72389.2,1048073370.2806
2026-02-05T01:00:00+00:00,ETHUSDT,2147.8,753669603.79203
2026-02-05T01:00:00+00:00,SOLUSDT,91.89,188643480.8271
2026-02-05T02:00:00+00:00,BTCUSDT,71429.1,1741249407.1385
2026-02-05T02:00:00+00:00,ETHUSDT,2123.31,1010893830.00564
2026-02-05T02:00:00+00:00,SOLUSDT,90.87,184078679.5085
2026-02-05T03:00:00+00:00,BTCUSDT,71198.9,1189407787.1759
2026-02-05T03:00:00+00:00,ETHUSDT,2109.11,856272800.33987
2026-02-05T03:00:00+00:00,SOLUSDT,91.1,180811825.6397
2026-02-05T04:00:00+00:00,BTCUSDT,70873.2,1657378879.0603
2026-02-05T04:00:00+00:00,ETHUSDT,2103.1,1251826512.27663
2026-02-05T04:00:00+00:00,SOLUSDT,91.08,196912096.7007
2026-02-05T05:00:00+00:00,BTCUSDT,70694.9,1513549347.7604
2026-02-05T05:00:00+00:00,ETHUSDT,2100.43,1320137859.50563
2026-02-05T05:00:00+00:00,SOLUSDT,91.13,275375688.7773
2026-02-05T06:00:00+00:00,BTCUSDT,70911.4,846235509.5739
2026-02-05T06:00:00+00:00,ETHUSDT,2086.31,1133660140.73819
2026-02-05T06:00:00+00:00,SOLUSDT,90.16,189695925.534
2026-02-05T07:00:00+00:00,BTCUSDT,70716.1,988083921.7632
2026-02-05T07:00:00+00:00,ETHUSDT,2090.57,978039204.71256
2026-02-05T07:00:00+00:00,SOLUSDT,90.5,160135155.4885
2026-02-05T08:00:00+00:00,BTCUSDT,71020.9,672303159.9652
2026-02-05T08:00:00+00:00,ETHUSDT,2110.84,578081326.90467
